iter	RMSE
0	659032.1048
1	617845.9267
2	582967.9225
3	552998.6419
4	522491.9932
5	499069.4707
6	472724.4814
7	453523.113
8	433193.8631
9	416416.4186
10	403950.812
11	391231.5662
12	379223.38
13	370577.878
14	360817.5048
15	353716.5876
16	347714.4105
17	340891.3963
18	334896.5905
19	330939.6662
20	326189.9192
21	323101.8018
22	319471.7925
23	316264.7327
24	313862.9501
25	307847.8115
26	306005.4326
27	304306.798
28	297994.9924
29	294839.6935
30	293549.979
31	291013.3752
32	289561.7518
33	286516.5348
34	283530.4656
35	282210.8694
36	281024.6665
37	280337.89
38	279916.0666
39	277561.6871
40	276787.1077
41	276212.8122
42	274064.537
43	273227.1017
44	272172.0997
45	271408.9439
46	269391.6828
47	266734.2027
48	264601.139
49	263562.4983
50	261351.4852
51	259592.3715
52	258385.2159
53	257890.9855
54	257341.817
55	256873.4116
56	255997.2099
57	255461.7856
58	254666.7872
59	253961.9805
60	253426.3311
61	252954.6015
62	252577.6176
63	252180.9007
64	251793.1566
65	250994.4402
66	250831.5612
67	250220.1779
68	248565.819
69	247980.8027
70	247480.1247
71	245850.3997
72	245030.5384
73	244473.0591
74	243840.2849
75	242344.7538
76	241897.8486
77	241560.8268
78	240995.6432
79	240014.6108
80	239615.8565
81	238983.6571
82	238622.1052
83	238013.9556
84	237507.4579
85	236945.0638
86	236615.9347
87	236242.8268
88	235181.6872
89	234235.4223
90	233725.0675
91	233350.3483
92	232840.2948
93	232525.1405
94	231424.6193
95	229648.2552
96	229106.3178
97	228420.2638
98	227243.4826
99	226771.1229
100	226253.1104
101	225453.1531
102	224989.9521
103	224113.8348
104	223773.3454
105	223236.5255
106	222642.2317
107	222166.6652
108	221681.1336
109	220657.5515
110	220290.154
111	219927.957
112	219540.6375
113	219193.144
114	218838.7931
115	218347.3264
116	218104.7376
117	217733.5529
118	217434.6442
119	217039.442
120	216570.2796
121	216257.0317
122	215777.8369
123	215462.5704
124	215101.6133
125	214327.2287
126	213894.4067
127	213590.4871
128	213291.0403
129	212977.2076
130	212625.7128
131	211515.2009
132	211115.028
133	210536.997
134	210044.8207
135	209749.3628
136	209596.7984
137	209290.0743
138	209040.2932
139	208852.0317
140	208642.7142
141	207789.7794
142	207591.2201
143	207191.625
144	205705.9241
145	204959.1258
146	204575.0522
147	204240.4157
148	203622.762
149	203311.1333
150	203149.5175
151	202976.8044
152	201697.5288
153	201268.1584
154	201109.0216
155	200846.7429
156	200612.0329
157	199937.7479
158	199695.6824
159	199455.6669
160	198270.7157
161	198056.3162
162	197731.2471
163	197318.7636
164	197122.5341
165	196312.8713
166	196066.3486
167	195937.1572
168	195212.8386
169	194994.7423
170	194691.7814
171	193775.9718
172	193282.7751
173	192993.1366
174	192803.9319
175	191999.2172
176	191821.8191
177	191541.5201
178	191425.4912
179	190726.6584
180	190483.7518
181	190214.5533
182	190030.4294
183	189811.0963
184	189583.2497
185	189120.6332
186	188930.769
187	188688.1237
188	188359.5367
189	188084.6609
190	187833.976
191	187202.4803
192	186996.2718
193	186723.8846
194	186507.5619
195	186304.8928
196	186224.269
197	186027.894
198	185811.8398
199	185650.5299
