iter	Passed	Remaining
0	159	31812
1	169	16741
2	175	11548
3	182	8922
4	187	7303
5	190	6170
6	194	5353
7	197	4728
8	200	4245
9	202	3855
10	205	3534
11	208	3270
12	211	3037
13	213	2838
14	215	2660
15	217	2503
16	219	2363
17	221	2237
18	223	2125
19	224	2023
20	226	1930
21	228	1848
22	230	1771
23	231	1700
24	233	1634
25	235	1574
26	237	1520
27	239	1468
28	240	1419
29	242	1374
30	244	1332
31	246	1292
32	247	1255
33	249	1219
34	251	1186
35	253	1154
36	255	1124
37	256	1094
38	258	1066
39	260	1041
40	262	1016
41	263	992
42	265	970
43	267	949
44	269	928
45	271	907
46	273	888
47	274	870
48	276	852
49	278	835
50	280	818
51	282	802
52	283	786
53	285	772
54	287	758
55	289	744
56	291	730
57	292	717
58	294	704
59	296	691
60	298	679
61	300	667
62	301	656
63	303	644
64	305	634
65	307	623
66	309	613
67	310	603
68	312	594
69	314	584
70	316	575
71	318	566
72	320	557
73	322	549
74	324	540
75	326	531
76	327	523
77	329	515
78	331	507
79	333	500
80	335	492
81	337	484
82	338	477
83	340	470
84	342	462
85	343	455
86	345	448
87	347	442
88	349	435
89	351	429
90	353	422
91	354	416
92	356	409
93	358	404
94	359	397
95	361	391
96	363	386
97	365	380
98	367	374
99	369	369
100	370	363
101	372	358
102	374	352
103	376	347
104	378	342
105	380	337
106	382	332
107	384	327
108	386	322
109	388	317
110	390	313
111	392	308
112	394	303
113	396	299
114	398	294
115	400	290
116	402	285
117	404	281
118	406	276
119	408	272
120	410	267
121	412	263
122	413	259
123	415	254
124	417	250
125	419	246
126	420	241
127	422	237
128	424	233
129	426	229
130	427	225
131	429	221
132	431	217
133	433	213
134	435	209
135	437	205
136	438	201
137	440	197
138	442	193
139	443	190
140	445	186
141	447	182
142	449	178
143	450	175
144	452	171
145	454	168
146	456	164
147	457	160
148	459	157
149	461	153
150	463	150
151	465	146
152	467	143
153	468	140
154	470	136
155	472	133
156	473	129
157	475	126
158	477	123
159	479	119
160	481	116
161	483	113
162	484	110
163	486	106
164	488	103
165	490	100
166	492	97
167	493	94
168	496	90
169	497	87
170	499	84
171	502	81
172	504	78
173	505	75
174	507	72
175	509	69
176	511	66
177	513	63
178	514	60
179	516	57
180	518	54
181	520	51
182	522	48
183	523	45
184	525	42
185	527	39
186	529	36
187	531	33
188	532	31
189	534	28
190	536	25
191	538	22
192	540	19
193	541	16
194	543	13
195	545	11
196	547	8
197	549	5
198	551	2
199	552	0
